;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
126;Papua New Guinea ;OCEANIA                            ;5670544;462840;2200.0;12,3;0;51,45;64,6;10,9;29,36;7,25;0,353;0,381;0,266
127;Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;4700.0;16,0;-0,08;25,63;94,0;49,2;29,1;4,49;0,224;0,207;0,569
128;Peru ;LATIN AMER. & CARIB    ;28302603;1285220;5100.0;22,0;-1,05;31,94;90,9;79,5;20,48;6,23;0,08;0,27;0,65
129;Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;4600.0;298,2;-1,5;23,51;92,6;38,4;24,89;5,41;0,144;0,326;0,53
130;Poland ;EASTERN EUROPE                     ;38536869;312685;11100.0;123,3;-0,49;8,51;99,8;306,3;9,85;9,89;0,05;0,311;0,64
131;Portugal ;WESTERN EUROPE                     ;10605870;92391;18000.0;114,8;3,57;5,05;93,3;399,2;10,72;10,5;0,053;0,274;0,673
132;Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;16800.0;284,8;-1,46;8,24;94,1;283,1;12,77;7,65;0,01;0,45;0,54
133;Qatar ;NEAR EAST                          ;885359;11437;21500.0;77,4;16,29;18,61;82,5;232,0;15,56;4,72;0,002;0,801;0,197
134;Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;5800.0;312,9;0;7,78;88,9;380,9;18,9;5,49;0,08;0,19;0,73
135;Romania ;EASTERN EUROPE                     ;22303552;237500;7000.0;93,9;-0,13;26,43;98,4;196,9;10,7;11,77;0,101;0,35;0,549
136;Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;1300.0;328,4;0;91,23;70,4;2,7;40,37;16,09;0,401;0,229;0,37
137;Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;8800.0;149,9;-7,11;14,49;97,0;638,9;18,02;8,33;0,035;0,258;0,707
138;Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;5400.0;273,5;-2,67;13,53;67,0;303,3;19,68;5,08;0,07;0,2;0,73
139;Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;2900.0;303,0;-7,64;14,78;96,0;190,9;16,18;5,98;0,1;0,26;0,64
140;Samoa ;OCEANIA                            ;176908;2944;5600.0;60,1;-11,7;27,71;99,7;75,2;16,43;6,62;0,114;0,584;0,302
141;Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;1200.0;193,2;-2,72;43,11;79,3;36,2;40,25;6,47;0,167;0,148;0,684
142;Saudi Arabia ;NEAR EAST                          ;27019731;1960582;11800.0;13,8;-2,71;13,24;78,8;140,6;29,34;2,58;0,033;0,613;0,354
143;Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;1600.0;61,1;0,2;55,51;40,2;22,2;32,78;9,42;0,172;0,209;0,619
144;Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;7800.0;179,2;-5,69;15,53;58,0;262,4;16,03;6,29;0,032;0,304;0,665
145;Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;500.0;83,7;0;143,64;31,4;4,0;45,76;23,03;0,49;0,31;0,21
146;Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;23700.0;6482,2;11,53;2,29;92,5;411,4;9,34;4,28;0;0,339;0,661
147;Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;500.0;13,9;5,37;116,7;37,8;11,3;45,13;16,63;0,65;0,1;0,25
